,Country,Year,Happiness Rank,Happiness Score
13,Mexico,2015,14,7.187
54,Moldova,2016,55,5.897
51,Moldova,2015,52,5.888999999999999
100,Mongolia,2016,101,4.907
99,Mongolia,2015,100,4.874
87,Montenegro,2016,88,5.1610000000000005
82,Montenegro,2015,82,5.192
91,Morocco,2015,92,5.013
89,Morocco,2016,90,5.151
93,Mozambique,2015,94,4.971
128,Myanmar,2015,129,4.3069999999999995
118,Myanmar,2016,119,4.395
112,Namibia,2016,113,4.574
120,Nepal,2015,121,4.513999999999999
106,Nepal,2016,107,4.793
6,Netherlands,2016,7,7.3389999999999995
6,Netherlands,2015,7,7.377999999999999
7,New Zealand,2016,8,7.334
8,New Zealand,2015,9,7.2860000000000005
47,Nicaragua,2016,48,5.992000000000001
56,Nicaragua,2015,57,5.827999999999999
141,Niger,2016,142,3.8560000000000003
143,Niger,2015,144,3.845
102,Nigeria,2016,103,4.875
77,Nigeria,2015,78,5.268
61,North Cyprus,2016,62,5.771
65,North Cyprus,2015,66,5.695
3,Norway,2015,4,7.522
3,Norway,2016,4,7.497999999999999
21,Oman,2015,22,6.853
80,Pakistan,2015,81,5.194
91,Pakistan,2016,92,5.132000000000001
107,Palestinian Territories,2016,108,4.754
107,Palestinian Territories,2015,108,4.715
24,Panama,2016,25,6.7010000000000005
24,Panama,2015,25,6.7860000000000005
52,Paraguay,2015,53,5.877999999999999
69,Paraguay,2016,70,5.537999999999999
63,Peru,2016,64,5.742999999999999
57,Peru,2015,58,5.824
89,Philippines,2015,90,5.073
81,Philippines,2016,82,5.279
56,Poland,2016,57,5.835
59,Poland,2015,60,5.791
93,Portugal,2016,94,5.122999999999999
87,Portugal,2015,88,5.102
14,Puerto Rico,2016,15,7.039
35,Qatar,2016,36,6.375
27,Qatar,2015,28,6.611000000000001
70,Romania,2016,71,5.528
85,Romania,2015,86,5.124
55,Russia,2016,56,5.856
63,Russia,2015,64,5.716
151,Rwanda,2016,152,3.515
153,Rwanda,2015,154,3.465
33,Saudi Arabia,2016,34,6.379
34,Saudi Arabia,2015,35,6.4110000000000005
127,Senegal,2016,128,4.218999999999999
141,Senegal,2015,142,3.904
86,Serbia,2015,87,5.122999999999999
85,Serbia,2016,86,5.1770000000000005
110,Sierra Leone,2016,111,4.635
122,Sierra Leone,2015,123,4.507
21,Singapore,2016,22,6.739
23,Singapore,2015,24,6.797999999999999
44,Slovakia,2016,45,6.077999999999999
44,Slovakia,2015,45,5.995
62,Slovenia,2016,63,5.768
54,Slovenia,2015,55,5.848
75,Somalia,2016,76,5.44
96,Somaliland Region,2016,97,5.0569999999999995
90,Somaliland region,2015,91,5.0569999999999995
112,South Africa,2015,113,4.6419999999999995
115,South Africa,2016,116,4.459
57,South Korea,2016,57,5.835
46,South Korea,2015,47,5.984
142,South Sudan,2016,143,3.832
36,Spain,2016,37,6.361000000000001
35,Spain,2015,36,6.329
131,Sri Lanka,2015,132,4.271
116,Sri Lanka,2016,117,4.415
117,Sudan,2015,118,4.55
132,Sudan,2016,133,4.138999999999999
39,Suriname,2016,40,6.269
39,Suriname,2015,40,6.269
100,Swaziland,2015,101,4.867
7,Sweden,2015,8,7.364
9,Sweden,2016,10,7.291
0,Switzerland,2015,1,7.587000000000001
1,Switzerland,2016,2,7.5089999999999995
155,Syria,2015,156,3.0060000000000002
155,Syria,2016,156,3.069
37,Taiwan,2015,38,6.297999999999999
34,Taiwan,2016,34,6.379
99,Tajikistan,2016,100,4.996
105,Tajikistan,2015,106,4.7860000000000005
148,Tanzania,2016,149,3.6660000000000004
145,Tanzania,2015,146,3.781
33,Thailand,2015,34,6.455
32,Thailand,2016,33,6.474
154,Togo,2016,155,3.303
157,Togo,2015,158,2.839
42,Trinidad and Tobago,2016,43,6.167999999999999
40,Trinidad and Tobago,2015,41,6.167999999999999
106,Tunisia,2015,107,4.739
97,Tunisia,2016,98,5.045
77,Turkey,2016,78,5.388999999999999
75,Turkey,2015,76,5.332000000000001
64,Turkmenistan,2016,65,5.6579999999999995
69,Turkmenistan,2015,70,5.547999999999999
145,Uganda,2016,145,3.739
140,Uganda,2015,141,3.931
122,Ukraine,2016,123,4.324
110,Ukraine,2015,111,4.681
19,United Arab Emirates,2015,20,6.901
27,United Arab Emirates,2016,28,6.5729999999999995
22,United Kingdom,2016,23,6.725
20,United Kingdom,2015,21,6.867000000000001
14,United States,2015,15,7.119
12,United States,2016,13,7.104
28,Uruguay,2016,29,6.545
31,Uruguay,2015,32,6.485
48,Uzbekistan,2016,49,5.987
43,Uzbekistan,2015,44,6.002999999999999
43,Venezuela,2016,44,6.084
22,Venezuela,2015,23,6.81
74,Vietnam,2015,75,5.36
95,Vietnam,2016,96,5.061
146,Yemen,2016,147,3.7239999999999998
135,Yemen,2015,136,4.077
84,Zambia,2015,85,5.129
105,Zambia,2016,106,4.795
130,Zimbabwe,2016,131,4.1930000000000005
114,Zimbabwe,2015,115,4.61
