,Country,Year,Happiness Rank,Happiness Score
0,Denmark,2016,1,7.526
1,Switzerland,2016,2,7.5089999999999995
2,Iceland,2016,3,7.501
3,Norway,2016,4,7.497999999999999
4,Finland,2016,5,7.412999999999999
5,Canada,2016,6,7.404
6,Netherlands,2016,7,7.3389999999999995
7,New Zealand,2016,8,7.334
8,Australia,2016,9,7.313
9,Sweden,2016,10,7.291
10,Israel,2016,11,7.267
11,Austria,2016,12,7.119
12,United States,2016,13,7.104
13,Costa Rica,2016,14,7.087000000000001
14,Puerto Rico,2016,15,7.039
15,Germany,2016,16,6.994
16,Brazil,2016,17,6.952000000000001
17,Belgium,2016,18,6.928999999999999
18,Ireland,2016,19,6.907
19,Luxembourg,2016,20,6.871
20,Mexico,2016,21,6.778
21,Singapore,2016,22,6.739
22,United Kingdom,2016,23,6.725
23,Chile,2016,24,6.705
24,Panama,2016,25,6.7010000000000005
25,Argentina,2016,26,6.65
26,Czech Republic,2016,27,6.596
27,United Arab Emirates,2016,28,6.5729999999999995
28,Uruguay,2016,29,6.545
29,Malta,2016,30,6.4879999999999995
30,Colombia,2016,31,6.481
31,France,2016,32,6.478
32,Thailand,2016,33,6.474
33,Saudi Arabia,2016,34,6.379
34,Taiwan,2016,34,6.379
35,Qatar,2016,36,6.375
36,Spain,2016,37,6.361000000000001
37,Algeria,2016,38,6.355
38,Guatemala,2016,39,6.324
39,Suriname,2016,40,6.269
40,Kuwait,2016,41,6.239
41,Bahrain,2016,42,6.218
42,Trinidad and Tobago,2016,43,6.167999999999999
43,Venezuela,2016,44,6.084
44,Slovakia,2016,45,6.077999999999999
45,El Salvador,2016,46,6.068
46,Malaysia,2016,47,6.005
47,Nicaragua,2016,48,5.992000000000001
48,Uzbekistan,2016,49,5.987
49,Italy,2016,50,5.977
50,Ecuador,2016,51,5.976
51,Belize,2016,52,5.956
52,Japan,2016,53,5.921
53,Kazakhstan,2016,54,5.919
54,Moldova,2016,55,5.897
55,Russia,2016,56,5.856
56,Poland,2016,57,5.835
57,South Korea,2016,57,5.835
58,Bolivia,2016,59,5.822
59,Lithuania,2016,60,5.813
60,Belarus,2016,61,5.8020000000000005
61,North Cyprus,2016,62,5.771
62,Slovenia,2016,63,5.768
63,Peru,2016,64,5.742999999999999
64,Turkmenistan,2016,65,5.6579999999999995
65,Mauritius,2016,66,5.648
66,Libya,2016,67,5.615
67,Latvia,2016,68,5.56
68,Cyprus,2016,69,5.546
69,Paraguay,2016,70,5.537999999999999
70,Romania,2016,71,5.528
71,Estonia,2016,72,5.517
72,Jamaica,2016,73,5.51
73,Croatia,2016,74,5.4879999999999995
74,Hong Kong,2016,75,5.457999999999999
75,Somalia,2016,76,5.44
76,Kosovo,2016,77,5.401
77,Turkey,2016,78,5.388999999999999
78,Indonesia,2016,79,5.314
79,Jordan,2016,80,5.303
80,Azerbaijan,2016,81,5.291
81,Philippines,2016,82,5.279
82,China,2016,83,5.245
83,Bhutan,2016,84,5.196000000000001
84,Kyrgyzstan,2016,85,5.185
85,Serbia,2016,86,5.1770000000000005
86,Bosnia and Herzegovina,2016,87,5.162999999999999
87,Montenegro,2016,88,5.1610000000000005
88,Dominican Republic,2016,89,5.155
89,Morocco,2016,90,5.151
90,Hungary,2016,91,5.145
91,Pakistan,2016,92,5.132000000000001
92,Lebanon,2016,93,5.129
93,Portugal,2016,94,5.122999999999999
94,Macedonia,2016,95,5.121
95,Vietnam,2016,96,5.061
96,Somaliland Region,2016,97,5.0569999999999995
97,Tunisia,2016,98,5.045
98,Greece,2016,99,5.033
99,Tajikistan,2016,100,4.996
100,Mongolia,2016,101,4.907
101,Laos,2016,102,4.876
102,Nigeria,2016,103,4.875
103,Honduras,2016,104,4.871
104,Iran,2016,105,4.813
105,Zambia,2016,106,4.795
106,Nepal,2016,107,4.793
107,Palestinian Territories,2016,108,4.754
108,Albania,2016,109,4.655
109,Bangladesh,2016,110,4.643
110,Sierra Leone,2016,111,4.635
111,Iraq,2016,112,4.575
112,Namibia,2016,113,4.574
113,Cameroon,2016,114,4.513
