,Country,Year,Happiness Rank,Happiness Score
0,Finland,2019,1,7.632000000000001
1,Norway,2019,2,7.593999999999999
2,Denmark,2019,3,7.555
3,Iceland,2019,4,7.495
4,Switzerland,2019,5,7.487
5,Netherlands,2019,6,7.441
6,Canada,2019,7,7.327999999999999
7,New Zealand,2019,8,7.324
8,Sweden,2019,9,7.314
9,Australia,2019,10,7.272
10,United Kingdom,2019,11,7.19
11,Austria,2019,12,7.138999999999999
12,Costa Rica,2019,13,7.072
13,Ireland,2019,14,6.977
14,Germany,2019,15,6.965
15,Belgium,2019,16,6.9270000000000005
16,Luxembourg,2019,17,6.91
17,United States,2019,18,6.886
18,Israel,2019,19,6.814
19,United Arab Emirates,2019,20,6.774
20,Czech Republic,2019,21,6.711
21,Malta,2019,22,6.627000000000001
22,France,2019,23,6.489
23,Mexico,2019,24,6.4879999999999995
24,Chile,2019,25,6.476
25,Taiwan,2019,26,6.441
26,Panama,2019,27,6.43
27,Brazil,2019,28,6.419
28,Argentina,2019,29,6.388
29,Guatemala,2019,30,6.382000000000001
30,Uruguay,2019,31,6.379
31,Qatar,2019,32,6.374
32,Saudi Arabia,2019,33,6.371
33,Singapore,2019,34,6.343
34,Malaysia,2019,35,6.322
35,Spain,2019,36,6.31
36,Colombia,2019,37,6.26
37,Trinidad & Tobago,2019,38,6.192
38,Slovakia,2019,39,6.172999999999999
39,El Salvador,2019,40,6.167000000000001
40,Nicaragua,2019,41,6.141
41,Poland,2019,42,6.122999999999999
42,Bahrain,2019,43,6.105
43,Uzbekistan,2019,44,6.096
44,Kuwait,2019,45,6.082999999999999
45,Thailand,2019,46,6.072
46,Italy,2019,47,6.0
47,Ecuador,2019,48,5.973
48,Belize,2019,49,5.956
49,Lithuania,2019,50,5.952000000000001
50,Slovenia,2019,51,5.9479999999999995
51,Romania,2019,52,5.945
52,Latvia,2019,53,5.933
53,Japan,2019,54,5.915
54,Mauritius,2019,55,5.891
55,Jamaica,2019,56,5.89
56,South Korea,2019,57,5.875
57,Northern Cyprus,2019,58,5.835
58,Russia,2019,59,5.81
59,Kazakhstan,2019,60,5.79
60,Cyprus,2019,61,5.7620000000000005
61,Bolivia,2019,62,5.752000000000001
62,Estonia,2019,63,5.739
63,Paraguay,2019,64,5.681
64,Peru,2019,65,5.662999999999999
65,Kosovo,2019,66,5.662000000000001
66,Moldova,2019,67,5.64
67,Turkmenistan,2019,68,5.636
68,Hungary,2019,69,5.62
69,Libya,2019,70,5.566
70,Philippines,2019,71,5.524
71,Honduras,2019,72,5.504
72,Belarus,2019,73,5.483
73,Turkey,2019,74,5.483
74,Pakistan,2019,75,5.472
75,Hong Kong,2019,76,5.43
76,Portugal,2019,77,5.41
77,Serbia,2019,78,5.398
78,Greece,2019,79,5.358
79,Lebanon,2019,80,5.358
80,Montenegro,2019,81,5.347
81,Croatia,2019,82,5.321000000000001
82,Dominican Republic,2019,83,5.3020000000000005
83,Algeria,2019,84,5.295
84,Morocco,2019,85,5.254
85,China,2019,86,5.246
86,Azerbaijan,2019,87,5.2010000000000005
87,Tajikistan,2019,88,5.199
88,Macedonia,2019,89,5.185
89,Jordan,2019,90,5.1610000000000005
90,Nigeria,2019,91,5.155
91,Kyrgyzstan,2019,92,5.131
92,Bosnia and Herzegovina,2019,93,5.129
93,Mongolia,2019,94,5.125
94,Vietnam,2019,95,5.103
95,Indonesia,2019,96,5.093
96,Bhutan,2019,97,5.082
97,Somalia,2019,98,4.982
98,Cameroon,2019,99,4.975
99,Bulgaria,2019,100,4.933
100,Nepal,2019,101,4.88
101,Venezuela,2019,102,4.806
102,Gabon,2019,103,4.758
103,Palestinian Territories,2019,104,4.743
104,South Africa,2019,105,4.724
105,Iran,2019,106,4.707
106,Ivory Coast,2019,107,4.671
107,Ghana,2019,108,4.657
108,Senegal,2019,109,4.631
109,Laos,2019,110,4.623
110,Tunisia,2019,111,4.592
111,Albania,2019,112,4.586
112,Sierra Leone,2019,113,4.571000000000001
113,Congo (Brazzaville),2019,114,4.559
114,Bangladesh,2019,115,4.5
115,Sri Lanka,2019,116,4.471
116,Iraq,2019,117,4.456
117,Mali,2019,118,4.447
118,Namibia,2019,119,4.441
119,Cambodia,2019,120,4.433
120,Burkina Faso,2019,121,4.4239999999999995
121,Egypt,2019,122,4.419
122,Mozambique,2019,123,4.417
123,Kenya,2019,124,4.41
124,Zambia,2019,125,4.377
125,Mauritania,2019,126,4.356
126,Ethiopia,2019,127,4.35
127,Georgia,2019,128,4.34
128,Armenia,2019,129,4.321000000000001
129,Myanmar,2019,130,4.308
130,Chad,2019,131,4.301
131,Congo (Kinshasa),2019,132,4.245
132,India,2019,133,4.19
133,Niger,2019,134,4.166
134,Uganda,2019,135,4.1610000000000005
135,Benin,2019,136,4.141
136,Sudan,2019,137,4.138999999999999
137,Ukraine,2019,138,4.103
138,Togo,2019,139,3.9989999999999997
139,Guinea,2019,140,3.964
140,Lesotho,2019,141,3.8080000000000003
141,Angola,2019,142,3.795
142,Madagascar,2019,143,3.7739999999999996
143,Zimbabwe,2019,144,3.6919999999999997
144,Afghanistan,2019,145,3.6319999999999997
145,Botswana,2019,146,3.59
146,Malawi,2019,147,3.5869999999999997
147,Haiti,2019,148,3.582
148,Liberia,2019,149,3.495
149,Syria,2019,150,3.4619999999999997
150,Rwanda,2019,151,3.408
151,Yemen,2019,152,3.355
152,Tanzania,2019,153,3.303
153,South Sudan,2019,154,3.2539999999999996
154,Central African Republic,2019,155,3.083
155,Burundi,2019,156,2.905
